pregunta;respuesta
¿Qué tres elementos fundamentales integran el municipio según la Ley 7/1985?;El territorio, la población y la organización.
¿Cuál es la entidad local básica de la organización territorial del Estado?;El municipio.
Las Entidades Locales territoriales son el Municipio, la Provincia y _____.;La Isla.
¿Bajo qué principios deben actuar las entidades locales según el artículo 6 de la LBRL?;Eficacia, descentralización, desconcentración y coordinación.
¿Cómo se clasifican las competencias de las Entidades Locales?;En propias o atribuidas por delegación.
¿Qué requisito es indispensable para que el Estado o las CCAA deleguen competencias en una Entidad Local?;Que no se ponga en riesgo la sostenibilidad financiera de la Hacienda municipal.
Definición: Término municipal.;Es el territorio en que el ayuntamiento ejerce sus competencias.
¿A cuántas provincias puede pertenecer un mismo municipio?;Únicamente a una sola provincia.
¿Qué registro administrativo hace constar a los vecinos de un municipio?;El Padrón municipal.
El conjunto de personas inscritas en el Padrón municipal constituye la _____ del municipio.;Población.
¿En qué momento se adquiere la condición de vecino?;En el mismo momento de su inscripción en el Padrón.
¿Con qué periodicidad deben renovar su inscripción padronal los extranjeros no comunitarios sin residencia de larga duración?;Cada dos años.
¿Qué dato es obligatorio especificar en el domicilio habitual para la inscripción padronal?;La referencia catastral.
¿A qué administración corresponde la formación, mantenimiento, revisión y custodia del Padrón municipal?;Al Ayuntamiento.
¿Quién coordina los padrones de todos los municipios y realiza las comprobaciones necesarias para subsanar errores?;El Instituto Nacional de Estadística (INE).
¿Qué órgano colegiado colabora entre la Administración General del Estado y los Entes Locales en materia padronal?;El Consejo de Empadronamiento.
¿Ante qué órgano debe jurar o prometer el cargo el Alcalde antes de comenzar sus funciones?;Ante el Ayuntamiento Pleno.
¿Cuál es el tratamiento oficial de los Alcaldes de Madrid y Barcelona?;Excelencia.
¿Qué tratamiento reciben los Alcaldes de las capitales de provincia que no sean Madrid ni Barcelona?;Ilustrísima.
¿Quién sustituye al Alcalde en caso de ausencia por más de 24 horas sin haber conferido delegación?;El Teniente de Alcalde.
¿Qué órgano es obligatorio en Ayuntamientos de municipios con población superior a 5.000 habitantes?;La Junta de Gobierno Local.
¿Qué mayoría se requiere para aprobar el Reglamento Orgánico del Ayuntamiento?;Mayoría absoluta del número legal de miembros de la corporación.
La aprobación de los presupuestos y la rendición de cuentas son competencias del _____.;Pleno.
¿Es delegable la competencia del Pleno de votar la moción de censura al Alcalde?;No, es una competencia no delegable.
¿Qué número máximo de concejales puede integrar la Junta de Gobierno Local?;No podrá exceder de un tercio del número legal de miembros del Pleno.
¿Cómo se denominan los órganos territoriales para la gestión desconcentrada en los municipios?;Distritos.
¿Qué quórum de asistencia se requiere para la válida constitución del Pleno?;Un tercio del número legal de miembros, nunca inferior a tres.
¿En qué plazo máximo debe celebrarse una sesión extraordinaria tras ser solicitada por la cuarta parte del Pleno?;En 15 días hábiles.
¿Con cuántos días hábiles de antelación mínima deben convocarse las sesiones plenarias ordinarias?;Con al menos dos días hábiles.
¿Cómo se adoptan los acuerdos, como regla general, en las corporaciones locales?;Por mayoría simple de los miembros presentes.
¿Qué tipo de mayoría requiere la creación o supresión de municipios?;Mayoría absoluta del número legal de miembros.
¿Qué mayoría se necesita para la aprobación de la delimitación del término municipal?;Mayoría absoluta.
¿Cuál es el plazo mínimo de información pública para la aprobación de Ordenanzas locales?;30 días.
¿Son públicas las sesiones de la Junta de Gobierno Local?;No, no son públicas.
¿Qué porcentaje de vecinos debe suscribir una iniciativa popular en municipios de hasta 5.000 habitantes?;El 20%.
¿Qué servicio mínimo de alcantarillado debe prestar un municipio de 1.000 habitantes?;Es obligatorio para todos los municipios con independencia de su población.
¿A partir de cuántos habitantes es obligatorio el servicio de biblioteca pública?;Más de 5.000 habitantes.
¿A partir de qué población es obligatorio el servicio de prevención y extinción de incendios?;Más de 20.000 habitantes.
¿Qué administración asume la coordinación de servicios en municipios con población inferior a 20.000 habitantes?;La Diputación provincial o entidad equivalente.
¿Cuál es la duración mínima de una delegación de competencias del Estado en un municipio?;No podrá ser inferior a cinco años.
¿Qué población base mínima se requiere para crear un nuevo municipio por segregación?;Al menos 4.000 habitantes.
¿Qué mayoría se requiere para que cada pleno apruebe un convenio de fusión de municipios?;Mayoría simple.
¿En qué lengua debe realizarse la denominación de los municipios?;En castellano, en otra lengua española oficial en su CCAA, o en ambas.
¿Qué órgano administrativo resuelve los deslindes de términos municipales entre municipios de una misma CCAA?;La Comunidad Autónoma correspondiente.
¿En qué artículo de la Constitución se fundamenta la autonomía municipal?;Artículo 140.
¿Quién puede suspender actos locales que atenten gravemente al interés general de España previo requerimiento al Alcalde?;El Delegado del Gobierno.
¿A qué municipios se aplica el régimen de gran población según su cifra de habitantes?;A los que superen los 250.000 habitantes.
¿Qué órgano ostenta la máxima representación política del municipio en el régimen de gran población?;El Pleno.
¿Qué tratamiento reciben los Tenientes de Alcalde en los municipios de gran población?;Ilustrísima.
¿Quién preside el Consejo Social de la Ciudad?;Corresponde al Alcalde (o a quien este designe).
¿Qué comisión es obligatoria en municipios de gran población para defender los derechos de los vecinos ante la administración?;Comisión especial de Sugerencias y Reclamaciones.
¿Qué requisito profesional se exige para ser titular de la Asesoría Jurídica en un municipio de gran población?;Ser funcionario de administración local con habilitación nacional o funcionario de carrera con título de licenciado en Derecho.
¿Cuál es la periodicidad mínima de sesiones ordinarias plenarias en municipios de entre 5.001 y 20.000 habitantes?;Cada dos meses.
¿Qué órgano resuelve los empates en las votaciones plenarias tras una segunda votación?;El Alcalde con su voto de calidad.
¿Cuántos concejales corresponden a un municipio de 10.000 habitantes?;13 concejales.
¿Cuál es el régimen de gobierno de municipios que tradicionalmente cuentan con asamblea vecinal?;Concejo Abierto.
¿A qué órgano corresponde aprobar la oferta de empleo público en el régimen ordinario?;Al Alcalde.
La aprobación de la plantilla de personal y la relación de puestos de trabajo es competencia del _____.;Pleno.
¿Quién nombra a los miembros de la Junta de Gobierno Local?;El Alcalde.
¿Qué órgano aprueba los proyectos de urbanismo cuya aprobación definitiva corresponde a la CCAA?;El Pleno.
¿Pueden los extranjeros ser elegidos en las elecciones municipales?;Sí, de acuerdo con lo dispuesto en la legislación electoral.
¿Qué mayoría se requiere para acordar que una sesión plenaria sea secreta?;Mayoría absoluta.
¿Qué órgano de la gran población es competente para aprobar el proyecto de presupuesto?;La Junta de Gobierno Local.
¿Quién ejerce la secretaría de la Junta de Gobierno Local en municipios de gran población?;Uno de sus miembros que reúna la condición de concejal, designado por el Alcalde.
¿Qué porcentaje de vecinos se requiere para la iniciativa popular en municipios de más de 20.001 habitantes?;El 10%.
¿Quién ostenta la jefatura superior de todo el personal de la corporación local?;El Alcalde.
¿Qué órgano tiene la potestad de dictar Bandos?;El Alcalde.
En el régimen de Concejo Abierto, el gobierno municipal corresponde al Alcalde y a una _____.;Asamblea vecinal.
¿Cuál es el número de concejales para un municipio de 40.000 habitantes?;21 concejales.
¿Qué recurso tienen los vecinos si un Ayuntamiento no establece un servicio público obligatorio?;Pueden exigir su establecimiento y prestación.
¿Quién preside el Pleno en los municipios de gran población?;El Alcalde (aunque puede delegar la presidencia en un concejal).
¿Qué órgano aprueba inicialmente los planes e instrumentos de ordenación urbanística en municipios de gran población?;La Junta de Gobierno Local.
¿Es obligatorio el servicio de transporte colectivo urbano en municipios de 40.000 habitantes?;No, es obligatorio a partir de los 50.000 habitantes.
¿Qué órgano aprueba el Reglamento Orgánico del Pleno en municipios de gran población?;El propio Pleno.
¿Qué quórum debe mantenerse durante toda la sesión plenaria en municipios de hasta 100 residentes?;La asistencia del número legal de miembros, que nunca será inferior a dos.
